"","No","IDStockSummary","Date","StockCode","StockName","Remarks","Previous","OpenPrice","FirstTrade","High","Low","Close","Change","Volume","Value","Frequency","IndexIndividual","Offer","OfferVolume","Bid","BidVolume","ListedShares","TradebleShares","WeightForIndex","ForeignSell","ForeignBuy","DelistingDate","NonRegularVolume","NonRegularValue","NonRegularFrequency","persen","percentage"
"314",314,3000906,"2021-10-06T00:00:00","IIKP","Inti Agri Resources Tbk","--U-2135000000E321------------",50,0,0,0,0,50,0,0,0,0,96,0,0,0,0,3.36e+10,3.36e+10,31426080000,0,0,"",0,0,0,NA,NA
"315",315,3000907,"2021-10-06T00:00:00","IKAI","Intikeramik Alamasri Industri Tbk.","--U-1130000000E512------------",50,0,0,50,50,50,0,2200,110000,9,14.3,50,42257700,0,0,13305799387,13305799387,12516765483,0,0,"",0,0,0,NA,NA
"316",316,3000908,"2021-10-06T00:00:00","IKAN","Era Mandiri Cemerlang Tbk.","--U-2130000000D231------------",108,0,0,110,106,107,-1,7310200,785419500,670,89.2,107,302500,106,800700,833333000,833333000,683333060,0,281800,"",0,0,0,NA,NA
"317",317,3000909,"2021-10-06T00:00:00","IKBI","Sumi Indo Kabel Tbk.","--U-2130000000C131------------",246,0,0,248,230,244,-2,76400,17972800,51,22.1,244,800,242,200,1.224e+09,1.224e+09,888134400,0,0,"",0,0,0,NA,NA
"318",318,3000910,"2021-10-06T00:00:00","IMAS","Indomobil Sukses Internasional Tbk.","--M-1805000000E745------------",995,0,0,1035,995,1010,15,12460800,12632154500,2963,142.2,1010,159500,1005,186300,3994291039,3994291039,2939798205,571100,590300,"",0,0,0,NA,NA
"319",319,3000911,"2021-10-06T00:00:00","IMJS","Indomobil Multi Jasa Tbk.","--M-1105000000G211------------",440,0,0,460,438,442,2,17361000,7732026000,2000,88.4,442,32000,440,920600,8654325000,8654325000,6266596733,3576600,2597800,"",0,0,0,NA,NA
"320",320,3000912,"2021-10-06T00:00:00","IMPC","Impack Pratama Industri Tbk.","--M-2135000000C121------------",2070,0,0,2090,2060,2070,0,2867000,5945033000,295,544.7,2080,135500,2060,18100,4833500000,4833500000,3503804150,41000,28600,"",0,0,0,NA,NA
"321",321,3000913,"2021-10-06T00:00:00","INAF","Indofarma Tbk.","--U-1135000000F211------------",2320,0,0,2370,2300,2340,20,466500,1090565000,384,936,2350,57900,2340,500,3099267500,3099267500,2221554944,0,2000,"",0,0,0,NA,NA
"322",322,3000914,"2021-10-06T00:00:00","INAI","Indal Aluminium Industry Tbk.","--U-2100000000B141------------",296,0,0,300,292,300,4,25700,7668200,20,109.5,300,30100,298,200,633600000,633600000,481219200,0,0,"",0,0,0,NA,NA
"323",323,3000915,"2021-10-06T00:00:00","INCF","Indo Komoditi Korpora Tbk.","--U-2100000000B153------------",364,0,0,380,344,346,-18,594600,213501200,372,281.3,346,6200,344,6100,1438370465,1438370465,1020811519,0,0,"",0,0,0,NA,NA
"324",324,3000916,"2021-10-06T00:00:00","INCI","Intanwijaya Internasional Tbk","--U-1130000000B111------------",610,0,0,615,600,610,0,89300,54118500,99,66,615,5900,610,900,196121237,196121237,165447876,0,0,"",0,0,0,NA,NA
"325",325,3000917,"2021-10-06T00:00:00","INCO","Vale Indonesia Tbk.","--MO1SN2F20000B146------------",4710,4730,4730,4770,4670,4720,10,18382400,86767423000,5139,1926.5,4730,38500,4720,538300,9936338720,9936338720,7559566498,1403600,867800,"",0,0,0,NA,NA
"326",326,3000918,"2021-10-06T00:00:00","INDF","Indofood Sukses Makmur Tbk.","XDMO1SNNQ10000D222------------",6500,6525,6525,6650,6525,6600,100,14518800,95854342500,4914,1129.8,6625,284300,6600,266100,8780426500,8780426500,7449313843,1991000,8418300,"",1610446,10455019250,2,NA,NA
"327",327,3000919,"2021-10-06T00:00:00","INDO","Royalindo Investa Wijaya Tbk.","--U-2100000000H112------------",164,0,0,166,160,161,-3,184400,29801100,135,146.4,163,2000,161,28600,4315000005,4315000005,3280444745,0,0,"",0,0,0,NA,NA
"328",328,3000920,"2021-10-06T00:00:00","INDR","Indo-Rama Synthetics Tbk.","--U-1135000000E413------------",4870,0,0,5250,4880,4970,100,750700,3776186000,717,669.4,4990,1800,4960,200,654351707,654351707,476760654,32400,1600,"",0,0,0,NA,NA
"329",329,3000921,"2021-10-06T00:00:00","INDS","Indospring Tbk.","--U-1135000000E111------------",1890,0,0,1920,1890,1890,0,600,1140000,3,177.2,1920,4100,1890,1300,656249710,656249710,480309163,0,0,"",0,0,0,NA,NA
"330",330,3000922,"2021-10-06T00:00:00","INDX","Tanah Laut Tbk","--U-2130000000C232------------",98,0,0,107,95,99,1,8744900,898541200,963,7.9,100,10000,99,1579000,437913588,437913588,329880306,0,0,"",0,0,0,NA,NA
"331",331,3000923,"2021-10-06T00:00:00","INDY","Indika Energy Tbk.","--M-1805000000A121------------",2160,0,0,2300,2130,2160,0,100756700,222671520000,17452,73.2,2160,112100,2150,575500,5210192000,5210192000,4133766333,10899800,10532300,"",0,0,0,NA,NA
"332",332,3000924,"2021-10-06T00:00:00","INKP","Indah Kiat Pulp & Paper Tbk.","XDMO1XDQM60000B152------------",8600,8625,8625,8775,8500,8550,-50,9492700,81695432500,5861,440.6,8550,10200,8525,98100,5470982941,5470982941,4394840597,2947100,1777100,"",0,0,0,NA,NA
"333",333,3000925,"2021-10-06T00:00:00","INOV","Inocycle Technology Group Tbk.","--U-2100000000E413------------",181,0,0,199,180,185,4,2345700,443077000,268,74,187,12300,185,78700,1808221900,1808221900,1379673310,466800,1704800,"",0,0,0,NA,NA
"334",334,3000926,"2021-10-06T00:00:00","INPC","Bank Artha Graha Internasional Tbk.","--U-1105000000G111------------",139,0,0,143,136,140,1,7459600,1040957500,670,0.8,140,1900,139,1026900,15838648341,15838648341,12742192590,4100,113800,"",0,0,0,NA,NA
"335",335,3000927,"2021-10-06T00:00:00","INPP","Indonesian Paradise Property Tbk.","--U-2105000000H111------------",600,0,0,630,560,560,-40,31200,17971500,50,533.3,560,500,0,0,11181971732,11181971732,7889999254,0,0,"",0,0,0,NA,NA
"336",336,3000928,"2021-10-06T00:00:00","INPS","Indah Prakasa Sentosa Tbk.","--U-2135000000A112------------",1815,0,0,1815,1800,1800,-15,1000,1810000,6,652.2,1800,400,1690,2800,6.5e+08,6.5e+08,470990000,0,0,"",0,0,0,NA,NA
"337",337,3000929,"2021-10-06T00:00:00","INRU","Toba Pulp Lestari Tbk.","--U-2105000000B152------------",690,0,0,715,715,715,25,600,429000,5,7.3,715,2400,690,100,1388883283,1388883283,993745989,0,0,"",0,0,0,NA,NA
"338",338,3000930,"2021-10-06T00:00:00","INTA","Intraco Penta Tbk.","--U-2100000000C141-ED--------X",81,0,0,86,80,84,3,97100,8047900,50,59.2,84,16300,81,49000,3343935022,3343935022,2574495573,0,0,"",134628800,10904932800,3,NA,NA
